City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,hermanus,-34.4187,19.2345,8.78,70,44,2.06,ZA,1690145279
300,snyder,32.7179,-100.9176,36.84,17,0,1.54,US,1690145879
301,al jawf,29.5,38.75,32.41,16,5,4.13,SA,1690145879
302,kolonia,50.9333,6.95,19.93,86,20,2.57,DE,1690145674
303,tailai,46.3833,123.4,17.27,93,100,5.9,CN,1690145880
304,spanish wells,26.323,-81.7957,34.99,66,20,4.12,US,1690145881
305,shetpe,44.1667,52.1167,30.44,31,74,4.39,KZ,1690145881
306,buritama,-21.0661,-50.1472,25.14,36,2,1.58,BR,1690145881
307,manaure,11.7751,-72.4445,31.79,53,100,7.76,CO,1690145378
308,ribeira brava,32.65,-17.0667,23.34,68,11,0.51,PT,1690145381
309,namsos,64.4662,11.4957,12.95,82,100,1.54,NO,1690145183
310,shahpur,16.7,76.8333,23.2,92,100,6.65,IN,1690145430
311,east ballina,-28.8667,153.5833,10.44,68,100,6.48,AU,1690145883
312,olinda,-8.0089,-34.8553,25.85,69,40,6.69,BR,1690145803
313,dingwall,57.5953,-4.4272,12.99,93,53,1.94,GB,1690145884
314,noosa heads,-26.3833,153.15,13.52,81,100,7.19,AU,1690145327
315,villa ojo de agua,-29.5,-63.6938,13.87,34,100,8.82,AR,1690145884
316,saint-philippe,-21.3585,55.7679,19.77,85,48,5.17,RE,1690145159
317,kuraymah,18.55,31.85,33.86,11,37,5.22,SD,1690145885
318,kyshtovka,56.555,76.6271,14.92,84,61,2.33,RU,1690145885
319,yeppoon,-23.1333,150.7333,10.88,87,100,5.12,AU,1690145886
320,kimamba,-6.7833,37.1333,20.32,79,47,0.98,TZ,1690145886
321,vorgashor,67.5833,63.95,14.63,97,100,2.32,RU,1690145425
322,ancud,-41.8697,-73.8203,5.41,80,100,4.11,CL,1690145703
323,bako,5.7833,36.5667,19.93,67,98,2.38,ET,1690145887
324,mckenzie,47.7084,-103.4477,33.79,27,0,5.14,US,1690145888
325,san agustin de valle fertil,-30.6335,-67.4682,13.96,38,70,6.14,AR,1690145474
326,mahalapye,-23.1041,26.8142,16.9,35,11,2.17,BW,1690145888
327,sinabang,2.4803,96.3801,25.94,82,99,1.43,ID,1690145404
328,chester,40.1254,-75.8749,30.87,51,47,2.06,US,1690145889
329,hailin,44.5833,129.4167,18.98,94,42,4.35,CN,1690145693
330,choma,-16.8065,26.9531,14.63,49,0,2.07,ZM,1690145889
331,san julian,21.0167,-102.1667,26.36,32,100,4.82,MX,1690145325
332,sechura,-5.5569,-80.8222,27.31,57,4,7.25,PE,1690145348
333,tadine,-21.55,167.8833,20.09,51,5,2.99,NC,1690145891
334,mezhdurechenskiy,59.6,65.9333,15.89,96,100,2.08,RU,1690145796
335,kurchatov,51.6601,35.6521,15.23,88,12,2.42,RU,1690145891
336,norfolk,42.1668,-71.2495,31.34,45,40,3.09,US,1690145892
337,kangding,30.0513,101.9603,16.24,99,100,0.09,CN,1690145892
338,kavaratti,10.5669,72.642,28.13,82,100,9.51,IN,1690145343
339,chibougamau,49.9168,-74.3659,25.79,31,0,3.04,CA,1690145893
340,polyarnyy,69.1989,33.4478,8.81,90,100,5.95,RU,1690145893
341,moranbah,-22.0016,148.0466,9.96,88,100,7.47,AU,1690145894
342,port elizabeth,-33.918,25.5701,13.16,76,0,6.69,ZA,1690145307
343,yuzhno-kurilsk,44.0306,145.8556,15.74,99,98,1.68,RU,1690145894
344,la passe,45.5549,-0.8967,21.13,85,100,3.73,FR,1690145452
345,taiynsha,53.8478,69.7639,14.45,91,9,3.43,KZ,1690145895
346,watsa,3.0372,29.5355,21.36,63,75,0.83,CD,1690145895
347,palangkaraya,-2.2,113.8333,22.39,97,63,1.28,ID,1690145624
348,baukau,51.5526,7.2042,19.39,87,100,2.68,DE,1690145896
349,morden,49.1919,-98.1014,29.49,50,51,3.09,CA,1690145440
350,bandarbeyla,9.4942,50.8122,24.6,77,100,13.14,SO,1690145897
351,socorro,31.6546,-106.3033,36.77,23,70,1.84,US,1690145897
352,bayramaly,37.6185,62.1671,27.86,12,0,4.46,TM,1690145897
353,port lincoln,-34.7333,135.8667,12.67,73,100,2.64,AU,1690145104
354,vakarai,55.6035,23.8213,15.29,98,100,3.28,LT,1690145898
355,chonchi,-42.6128,-73.8092,6.73,87,100,1.21,CL,1690145145
356,kuala terengganu,5.3302,103.1408,26.97,94,20,1.03,MY,1690145899
357,sayat,38.7839,63.8803,32.93,11,0,8.67,TM,1690145899
358,mount gambier,-37.8333,140.7667,10.73,82,100,1.34,AU,1690145408
359,ola,59.5833,151.2833,13.66,87,99,0.53,RU,1690145901
360,keflavik,64.0049,-22.5624,12.95,87,75,3.09,IS,1690145385
361,auki,-8.7676,160.7034,24.43,92,100,2.48,SB,1690145901
362,makassar,-5.14,119.4221,21.03,94,20,1.03,ID,1690145902
